,S,E,Ia,Is,R,Ihsub,Ihcrit,D,Htot,Dperday,NCperday,Hcumulative
2020-05-31,9081039.630631074,367912.6061184796,262736.48904081626,107567.87617080123,829469.050880798,8173.16430237152,5193.7313065045755,4015.4515491528246,13366.8956088761,270.93651330903555,124183.69893427592,34030.95862339309
2020-06-01,8956855.9316968,396578.0852275762,284916.70951524284,116607.17484158615,892317.133580449,8896.587257764082,5649.989818119791,4286.3880624618605,14546.577075883877,294.6231121132236,132794.76233636955,36605.50237736072
2020-06-02,8824061.169360435,426521.8625378264,308494.8219755203,126214.40494323216,960417.6565975784,9675.799494649875,6141.273916187392,4581.011174575086,15817.073410837269,320.1066564042593,141579.34429591335,39393.35966464838
2020-06-03,8682481.825064518,457599.7152437213,333470.74152000353,136389.35800207313,1034083.5886433716,10512.8082317773,6668.84546355709,4901.117830979343,17181.653695334386,347.4267591221804,150489.08279100712,42407.11738473221
2020-06-04,8531992.74227351,489681.4141853208,359794.3398738433,147111.35429940745,1113635.8992035685,11409.692749989628,7234.012824258771,5248.5445901015255,18643.70557424839,376.62594640481836,159459.36868632722,45659.686608133095
2020-06-05,8372533.373587183,522627.43913747463,387376.19503099,158343.6530492996,1199395.773190163,12368.396128114602,7837.999340269259,5625.170536506343,20206.395468383864,407.7951745464069,168337.16326916113,49163.97768768746
2020-06-06,8204196.21031802,556146.1548862816,416158.75736825174,170062.60594948818,1291640.7238744523,13389.446084325258,8481.135808126446,6032.9657110527505,21870.581892451704,440.95381895128463,177012.5033245936,52931.06341627142
2020-06-07,8027183.706993427,589901.3787707402,446056.5203688175,182233.15781713376,1390623.334433385,14472.669707246385,9163.312379244671,6473.919530004035,23635.98208649107,476.0522456919612,185401.51849531085,56970.975697074646
2020-06-08,7841782.188498118,623589.6917428311,476910.04786809353,194790.04921349077,1496583.9781367132,15617.745515633811,9884.327249424008,6949.9717756959935,25502.072765057823,513.0400335797524,193413.10205421827,61293.249301317665
2020-06-09,7648369.086443901,656928.6371272925,508492.7067217072,207640.5753679416,1609746.0850018829,16824.085394560083,10643.812133440746,7463.0118092757475,27467.897528000834,551.9211274651755,200864.2163039063,65906.72510860316
2020-06-10,7447504.870139994,689492.3750115345,540605.0623517163,220703.2195675227,1730258.1752123612,18089.177931157115,11440.186848974376,8014.932936740922,29529.36478013149,592.6407473586618,207604.01563985372,70817.12850288211
2020-06-11,7239900.85450014,720783.1690362998,573041.7158267775,233894.08233613163,1858200.7531520159,19408.958328920104,12270.893135616378,8607.573684099583,31679.85146453648,635.0061060189877,213553.6313134952,76027.3693982645
2020-06-12,7026347.223186644,750377.9631751998,605515.2498034142,247095.79792199715,1993616.9659684303,20779.045118677626,13133.175035518394,9242.579790118574,33912.220154196024,678.8183928485103,218631.9268729836,81538.84533702105
2020-06-13,6807715.296313662,777922.3403575111,637661.4618543164,260159.67856133753,2136509.118067027,22194.67127015413,14024.03539302604,9921.39818296708,36218.70666318018,723.9516568984596,222683.7087023781,87351.29785261433
2020-06-14,6585031.587611282,802961.3492803061,669154.7867348224,272952.91396274354,2286774.1637215773,23648.801154385226,14939.047695017092,10645.349839865541,38587.84884940231,770.2239995366526,225592.86225324203,93460.11756090645
2020-06-15,6359438.72535804,824996.8124550091,699692.7137106446,285352.2011881849,2444207.046151113,25132.40074965299,15872.526547953592,11415.573839402196,41004.9272976066,817.2759894229866,227346.86302417124,99856.4953814575
2020-06-16,6132091.862333871,843663.155612148,728907.0971762672,297207.5104432314,2608550.5334699512,26636.293155790765,16818.697979917542,12232.849828825181,43454.99113570831,864.7433542260768,227934.08458122585,106529.52994141565
2020-06-17,5904157.777752643,858719.2141021664,756373.0195533576,308345.710080086,2779491.9372843327,28151.091197718037,17771.65684664415,13097.593183051255,45922.748044362204,912.3764250565505,227286.0077786413,113466.09246964313
2020-06-18,5676871.769974003,869868.4568292307,781745.9729804373,318626.62265480205,2956596.043326324,29665.113072613833,18724.051554483663,14009.969608107805,48389.1646270975,959.8475508168013,225396.780344492,120648.0195869757
2020-06-19,5451474.989629511,876839.6036943537,804732.276315392,327930.9336596694,3139327.5601427783,31165.212190434562,19667.607208938203,14969.817158924607,50832.81939937276,1006.674312081976,222353.3117382352,128053.06291962713
2020-06-20,5229121.677891277,879533.0989334163,825006.2709166281,336126.3612113349,3327110.8817013614,32638.810090307925,20594.407784671846,15976.491471006588,53233.217874979746,1052.3922449840795,218238.41904903253,135657.40373283467
2020-06-21,5010883.258842243,877995.4005491291,842230.318932025,343075.82256418624,3519323.876670771,34073.6795303612,21496.75919529502,17028.883715990665,55570.43872565622,1096.6952149382478,213086.00372140337,143435.39193368368
2020-06-22,4797797.255120839,872232.4888049344,856198.4844955364,348696.0965630145,3715236.3644604413,35455.85875981223,22365.872864493896,18125.578930928918,57821.73162430612,1139.1707273484126,207001.48783273308,151356.96261062025
2020-06-23,4590795.7672881065,862325.9855274565,866762.9884482197,352927.76238577726,3914066.3229672117,36771.43386514349,23192.98985980792,19264.749658277327,59964.423724951404,1179.3367971604162,200137.47030409856,159389.99258214099
2020-06-24,4390658.2969840085,848511.0063542491,873775.6895767909,355711.2920036249,4115029.2846036362,38008.02528345455,23970.318738800248,20444.08645543774,61978.34402225477,1216.7708620418455,192629.52213846735,167502.36558495858
2020-06-25,4198028.7748455405,831122.4518133609,877123.8466332541,357001.63963511656,4317325.459640053,39154.264737373975,24690.705377820723,21660.857317479586,63844.97011519469,1251.2010608563032,184570.33596433303,175661.4263439026
2020-06-26,4013458.4388812077,810442.736142537,876837.9310919087,356812.1903053872,4520099.68526963,40198.28229906343,25346.67763192908,22912.05837833589,65544.95993099251,1282.2755230857886,176102.2850314845,183832.291556922
2020-06-27,3837356.153849722,786822.4751511209,872987.3858395456,355172.190751914,4722513.873924663,41129.81230160105,25931.774280009635,24194.333901421676,67061.58658161071,1309.6601982026596,167373.35336406538,191980.87139194235
2020-06-28,3669982.8004856575,760696.97979862,865655.0672846283,352116.3232465877,4923771.191000248,41940.74855015746,26440.895534476647,25503.994099624342,68381.64408463411,1333.1132411807644,158502.58724199567,200074.8675932411
2020-06-29,3511480.213243662,732516.1565743943,854979.8989481293,347702.07915423467,5123098.327669844,42624.39021256379,26869.826856367563,26837.1073408051,69494.21706893138,1352.4677362619213,149581.95569776624,208083.0199769736
2020-06-30,3361898.2575458935,702673.4870688608,841194.9957490718,342025.21626291174,5319736.557532658,43174.97010239669,27214.94066113809,28189.575077067017,70389.91076353478,1367.5822274469344,140714.67112861027,215974.72389947556
2020-07-01,3221183.586417285,671578.8355584972,824547.3450695993,335187.0445667103,5512991.269509227,43588.825658054884,27473.93591611408,29557.157304513963,71062.76157416898,1378.3635660356797,131995.16752773413,223722.07303809727
2020-07-02,3089188.41888955,639651.7612872538,805292.9526357604,327292.46739523066,5702236.707470182,43864.3586162435,27645.81283522913,30935.520870549633,71510.17145147263,1384.7935174674185,123492.02078124367,231300.04370498913
2020-07-03,2965696.398108307,607273.4943851669,783723.2644058409,318460.70663080463,5886901.899121908,44001.43140902322,27730.49155093109,32320.31438801706,71731.92295995433,1386.8508981730365,115261.94941217393,238685.8972993782
2020-07-04,2850434.448696133,574778.9466285176,760154.4492096006,308820.8288898077,6066481.512781928,44001.65514686085,27728.993360960518,33707.165286190095,71730.64850782139,1384.6360551132316,107347.93741079904,245859.634350336
2020-07-05,2743086.5112853344,542475.7946472517,734898.0874710717,298499.93035410345,6240544.356244704,43868.19797020643,27643.32068602701,35091.80134130332,71511.51865623344,1378.306363422811,99782.14416270256,252804.3118229922
2020-07-06,2643304.367122632,510632.2430349585,708266.2254862387,287625.22972018865,6408728.112281521,43605.46157391241,27476.25307582296,36470.107704726135,71081.71464973537,1368.044917833831,92587.26069627254,259505.81066226022
2020-07-07,2550717.1064263587,479465.20292439545,680578.8253885935,276327.0747390537,6570731.664614433,43218.802258534575,27231.17102606894,37838.15262255997,70449.97328460349,1353.9550101571538,85785.03270830738,265952.5137291279
2020-07-08,2464932.0737180514,449174.29213975224,652119.5052962872,264720.7704213666,6726341.151062097,42715.45898465474,26912.6407450699,39192.10763271713,69628.09972972464,1336.2424448898093,79385.64163151372,272136.4059370797
2020-07-09,2385546.4320865367,419939.3461379239,623138.9609428264,252908.12051857266,6875416.922932357,42103.878246744214,26525.98905743487,40528.350077606934,68629.86730417909,1315.250431599279,73375.7017087278,278052.50456223305
2020-07-10,2312170.73037781,391877.83402386174,593894.4722887605,240993.60126621288,7017858.921149971,41392.37895198506,26076.461432194472,41843.600509206204,67468.84038417951,1291.3228322706868,67741.68114106642,283697.393017956
2020-07-11,2244429.049236744,365044.62027019006,564650.1095164815,229084.4453779983,7153606.489118707,40589.1455132708,25569.21762513073,43134.92334147689,66158.36313840155,1264.6997479609481,62480.45146476491,289069.2129656052
2020-07-12,2181948.5977719785,339480.0021032073,535633.4655456847,217272.9327533788,7282660.347821062,39703.13028409672,25009.900631152144,44399.62308943784,64713.030915248855,1235.56780453631,57593.550005275225,294168.5991909599
2020-07-13,2124355.047766704,315253.15744616685,506995.0343068946,205619.84253495515,7405100.0292234365,38744.671500444616,24405.026327425512,45635.19089397416,63149.697827870135,1204.2842105133366,53057.42925456797,298999.4107455954
2020-07-14,2071297.6185121352,292388.01229658764,478884.6847970658,194185.72904664025,7521028.229411068,37723.51467903569,23760.73615297929,46839.4751044875,61484.25083201497,1171.1920347602913,48847.72097674544,303566.3875117392
2020-07-15,2022449.8975353902,270865.92081564816,451452.6353390015,183031.29057293656,7630566.096055951,36648.74073322635,23082.751808599194,48010.66713924778,59731.49254182553,1136.5994135778951,44944.205717244404,307874.9600324599
2020-07-16,1977505.691818146,250641.78169822122,424836.413891509,172212.0526799449,7733859.216309828,35529.03322105874,22376.543828468846,49147.266552825684,57905.577049527616,1100.7176318044676,41341.27256369925,311931.5047055159
2020-07-17,1936164.4192544462,231705.20870747595,399105.90519691096,161756.01047086052,7831106.739040597,34373.735258069486,21647.997887008245,50247.98418463015,56021.733145077684,1063.8280493691434,38019.36018629476,315744.5660423233
2020-07-18,1898145.059068152,214033.68260706813,374314.1385927036,151684.32613149885,7922524.614156645,33191.68588380427,20902.68132613106,51311.81223399928,54094.367209935335,1026.2190733439784,34953.84828649421,319323.32219260186
2020-07-19,1863191.2107816576,197573.7215542204,350521.2753974687,142021.07812310464,8008326.447445728,31990.71217052603,20145.52321995077,52338.03130734326,52136.235390476795,988.1715713528205,32121.031704777084,322676.7937815324
2020-07-20,1831070.17907688,182243.99983963926,327791.9513546396,132792.1797680958,8088724.943346026,30777.690635090094,19380.853100931625,53326.202878696095,50158.5437360217,949.8603223910452,29512.627451666885,325813.9050498401
2020-07-21,1801557.5516252138,167991.5177536851,306144.82352186966,124004.87111920689,8163960.475448148,29559.620078510216,18613.07725227998,54276.06320108714,48172.69733079019,911.4837146755364,27116.460282548276,328744.68414050987
2020-07-22,1774441.091342665,154779.04811818554,285567.72235429945,115653.90001448752,8234289.01724548,28343.237482033488,17846.43652708622,55187.546915762665,46189.67400911971,873.2430212497667,24913.06078567881,331479.7589504266
2020-07-23,1749528.0305569868,142551.32025446126,266056.16785072273,107737.15910851547,8299955.616476484,27134.33781608587,17084.57799973278,56060.78993701243,44218.915815818655,835.32836525491,22883.72196691729,334029.2637297995
2020-07-24,1726644.3085900694,131236.74614111436,247612.6059029516,100255.37148618711,8361194.457767443,25937.81252521113,16330.579284758296,56896.118302267336,42268.391809969435,797.8937348709252,21014.506191323722,336402.844230516
2020-07-25,1705629.8023987452,120763.42251899606,230232.02932950202,93206.25314528037,8418237.33899398,24757.98292470393,15587.158651656782,57694.01203713826,40345.141576360715,761.0501429195148,19299.86622233456,338610.01421958697
2020-07-26,1686329.9361764109,111091.00700298713,213872.89059569046,86572.72289883847,8471330.195263892,23599.158938843346,14857.026943281675,58455.06218005777,38456.18588212501,724.9231124092322,17726.380931876345,340660.84365382604
2020-07-27,1668603.5552445347,102174.59916916632,198495.35598010442,80338.41891658098,8520708.643339373,22464.973581227914,14142.468476546328,59179.98529246702,36607.442057774235,689.6134949238614,16280.63166964683,342564.9492817125
2020-07-28,1652322.9235748874,93959.72740282163,184068.1106547245,74490.44905220084,8566593.516999139,21358.3518719532,13445.321656882299,59869.59878739088,34803.6735288355,655.2209690884017,14949.334628330344,344331.31658209517
2020-07-29,1637373.5889465571,86382.75328974602,170567.98066769307,69019.23748770959,8609191.113580093,20281.520932979598,12766.985338742756,60524.81975647929,33048.50627172235,621.8035782738367,13725.763752589053,345968.3101478204
2020-07-30,1623647.8251939681,79393.60988933012,157958.30889556895,63909.761485836105,8648706.664597878,19236.487219733783,12108.719382930547,61146.62333475314,31345.206602664315,589.4212527121025,12604.360660966553,347484.2358870656
2020-07-31,1611043.4645330017,72960.5535511572,146185.3917718436,59140.11718595032,8685345.701764423,18225.06446108144,11471.662145075205,61736.044587465214,29696.72660615665,558.1182308212375,11575.599224375483,348887.3961718513
2020-08-01,1599467.8653086266,67046.66287119895,135202.99379811034,54691.440550628206,8719299.676449874,17248.5630694249,10856.63513385106,62294.162818286466,28105.19820327596,527.9247887076929,10630.667232239506,350185.50279855693
2020-08-02,1588837.198076387,61610.27514392954,124972.2325239383,50547.85667450123,8750746.326381808,16307.845591253032,10264.1780011888,62822.08760699415,26572.02359244183,498.8703509406719,9760.857554349384,351385.69516745
2020-08-03,1579076.3405220378,56605.27887112188,115461.28593851971,46696.361221863226,8779849.886970045,15403.33484933014,9694.553669150331,63320.957957934814,25097.888518480464,470.9612729293905,8961.792416402726,352494.5491407118
2020-08-04,1570114.5481056347,51995.93520033581,106630.81407481828,43120.920130603474,8806770.58695501,14535.329413945858,9147.94688878553,63791.919230864216,23683.27630273138,444.21207133288107,8229.470554298885,353518.4715307122
2020-08-05,1561885.077551336,47759.4018422546,98432.16822976152,39801.75181242013,8831665.030077986,13703.986072797727,8624.453111247749,64236.1313021971,22328.439184045485,418.61867740670573,7557.783415305445,354463.71366964455
2020-08-06,1554327.2941360306,43870.21804248956,90822.82139629306,36721.56135957797,8854678.184749085,12909.179794961674,8123.990541959922,64654.749979603796,21033.170336921597,394.1671619593122,6941.160054823227,355336.04726603295
2020-08-07,1547386.1340812072,40300.401847360125,83766.21636447609,33865.47608494778,8875943.97313344,12150.551249095794,7646.330097909338,65048.917141563084,19796.881347005125,370.8435957991362,6374.0295282526895,356140.7908202902
2020-08-08,1541012.104552955,37019.450103894094,77231.76572149339,31221.045522006552,8895585.271151198,11427.506803440445,7191.095407647685,65419.760737362245,18618.602211088128,348.6292645074646,5852.009165578464,356882.80962471955
2020-08-09,1535160.0953873761,33998.162526092936,71190.88376551804,28776.63687664176,8913716.709400715,10739.304899735096,6757.817142052549,65768.39000186973,17497.122041787643,327.50273592006715,5373.712921366408,357566.63163733494
2020-08-10,1529786.3824660096,31220.672133902222,65605.21503165663,26516.6802972441,8930451.859166877,10085.245845935351,6346.052320585309,66095.89273778978,16431.298166520657,307.44485212934615,4934.990567611368,358196.7423895322
2020-08-11,1524851.3918983985,28671.368438155787,60439.808275661315,24426.991997450285,8945895.37962288,9464.466779026141,5955.255398506149,66403.33758991912,15419.722177532287,288.4212760362392,4532.472968575693,358777.2629075383
2020-08-12,1520318.9189298227,26333.30468234104,55664.00319779034,22495.12662994811,8960144.043329084,8876.017994156648,5584.8263709022995,66691.75886595536,14460.844365058954,270.397270970689,4162.846364346228,359311.9954864824
2020-08-13,1516156.072565476,24188.319796393986,51251.292074754434,20710.321242701237,8973286.857336553,8318.867320584555,5234.113526608688,66962.15613692606,13552.980847193245,253.33810026263544,3822.7969950098704,359804.42874845775
2020-08-14,1512333.2755704669,22217.038396699132,47179.31975971645,19063.49527894914,8985405.063187096,7791.900121676,4902.41344820789,67215.49423718869,12694.313569883889,237.20873692858703,3509.874564391021,360257.73764251923
2020-08-15,1508823.401006075,20401.586093783902,43426.93899407457,17546.061202643523,8996574.327962415,7293.9754603562,4589.0063065308095,67452.70297411729,11882.981766887011,221.97871702848715,3223.2182438914147,360674.8733415818
2020-08-16,1505600.182762184,18732.79790313809,39967.23489418168,16147.110834491708,9006868.769818475,6824.01219090467,4293.209905479048,67674.68169114579,11117.22209638372,207.6153227821793,2960.13505471296,361058.7269332978
2020-08-17,1502640.0477074713,17201.427364036386,36776.32973221919,14856.968732080577,9016355.761306513,6380.86581329467,4014.302330456568,67882.29701392795,10395.168143751243,194.08049329716758,2718.733483302261,361411.9173387697
2020-08-18,1499921.3142241691,15797.55432931989,33833.05698830479,13667.056371823595,9025097.68858726,5963.390812820439,3751.561179080628,68076.37750722513,9714.951991901067,181.3360946003576,2497.1544200148,361736.8651138575
2020-08-19,1497424.1598041544,14510.652078751245,31118.877180913398,12569.8581028601,9033152.031331465,5570.442918794893,3504.2649812390837,68257.71360182548,9074.707900033976,169.3439927186533,2293.5387552060197,362035.7957467428
