,S,E,Ia,Is,R,Ihsub,Ihcrit,D,Htot,Dperday,NCperday,Hcumulative
2020-05-31,10252622.65475494,24995.207211236706,25329.280022196435,10425.509443129558,348173.3948960286,1374.0956990859183,879.4848718946796,2308.37310148536,2253.580570980597,44.12146145364068,6491.911548567172,14147.554187252035
2020-06-01,10246130.743206372,25211.35513793752,25538.953487848146,10508.179508807152,354097.08863158076,1383.8004056283264,885.3850588834027,2352.4945629390004,2269.185464511729,44.41855851358782,6549.168251845519,14389.29583264564
2020-06-02,10239581.574954526,25430.342831751317,25752.310219188843,10592.420308756196,360069.3811444425,1393.6803922339438,891.3770276445395,2396.9131214525887,2285.057419878483,44.720416288293706,6607.058079819083,14632.877904493147
2020-06-03,10232974.51687471,25652.11239920756,25969.21920641653,10678.192194203051,366091.12010368146,1403.7399108396291,897.4657732001358,2441.633537740881,2301.2056840397645,45.027434073674,6665.571688776435,14878.336733782668
2020-06-04,10226308.945185933,25876.627432017718,26189.545862079478,10765.455440375943,372163.1283544965,1413.9818694664182,903.6548838148186,2486.660971814556,2317.6367532812365,45.339232048791466,6724.809632344184,15125.707253118733
2020-06-05,10219584.135553593,26104.1706035503,26412.93012719913,10854.073921444033,378286.32558602653,1424.4130613230548,909.950943003226,2532.0002038633475,2334.3640043262812,45.65634933202207,6784.497695092919,15375.029613850582
2020-06-06,10212799.637858497,26334.50412618644,26639.32651621736,10944.019430079885,384461.461596296,1435.0354449528477,916.3584745747273,2577.6565531953697,2351.393919527576,45.97949472272907,6844.472369404243,15626.339908724409
2020-06-07,10205955.165489094,26567.053835817012,26868.922367530253,11035.356982487405,390689.1414223105,1445.8457578328726,922.8780970106852,2623.636047918097,2368.7238548435585,46.30858944543312,6904.789645381407,15879.667917125244
2020-06-08,10199050.375843713,26801.42022717944,27101.797300498994,11128.111581095018,396969.9980050626,1456.8417360207418,929.5106690678296,2669.944637363531,2386.352405088571,46.64355472465686,6965.505513127187,16135.043958353714
2020-06-09,10192084.870330583,27037.378453857607,27337.92321544985,11222.26821455563,403304.69218953134,1468.0221141546042,936.2572897782593,2716.588192088188,2404.2794039328633,46.984311784920905,7026.675962745153,16392.498891626026
2020-06-10,10185058.194367845,27274.87832828192,27577.16429367417,11317.771857746655,409693.91272468213,1479.3866254531472,943.1192984494397,2763.5725038731093,2422.505923902587,47.33078185074352,7088.356984337014,16652.06411607403
2020-06-11,10177969.837383503,27514.04432172928,27819.276997428384,11414.527471769992,416138.3762634663,1490.9360017155939,950.0982746642056,2810.903285723853,2441.0342763797985,47.682886146653395,7150.604568007529,16913.771570745106
