FIP,County,_0to9,_10to19,_20to29,_30to39,_40to49,_50to59,_60to69,_70to79,_80up,POPSIZE
13069,"Coffee County, Georgia",0.13503047523028275,0.13377022134640942,0.14699143027358966,0.13230374409972046,0.12730855597818616,0.12400898217313595,0.09972045277484992,0.06140873470510059,0.039457403418725084,43642.0
13071,"Colquitt County, Georgia",0.14052456753375608,0.14011474914800914,0.12723782408006554,0.1257926750355895,0.12193175445407878,0.1205944523532203,0.1046546740865364,0.06833182347612267,0.05081747983262155,46362.0
13073,"Columbia County, Georgia",0.132660764093247,0.1401967808797564,0.1232055579723125,0.14425266767317485,0.1320594181017938,0.12523989866680313,0.103904910565777,0.05836254765986847,0.04011745438726682,156316.0
13075,"Cook County, Georgia",0.12904521459719992,0.1408652742712876,0.12204498508147807,0.12072526968097315,0.12336470048198303,0.12829928850126235,0.11177415652972228,0.07252696809731468,0.051354142758778976,17428.0
13077,"Coweta County, Georgia",0.12430952332540345,0.141341846105881,0.11863660085534385,0.12644449414746886,0.13913232074717202,0.14412069701714075,0.10403068935835656,0.06425923290159477,0.03772459554163871,147543.0
13079,"Crawford County, Georgia",0.10237293570626904,0.11896745230078565,0.11215327881994548,0.1105499438832772,0.11864678531345198,0.16402116402116398,0.13932980599647266,0.0890652557319224,0.044893378226711564,12474.0
13081,"Crisp County, Georgia",0.12503784438389345,0.1322607153669824,0.11630119804506725,0.11340339950694175,0.11175987197785564,0.12867090523766272,0.12733013277972405,0.07724579386704727,0.06799013883482548,23121.0
13083,"Dade County, Georgia",0.10065288356909684,0.12537782613952364,0.13861685406843188,0.10403820577922863,0.1195139644541168,0.1307580703663402,0.13529198404062387,0.08499576834723734,0.0607544432354008,16542.0
13085,"Dawson County, Georgia",0.105275581258114,0.11896612769975215,0.11393052441087376,0.11192415122546127,0.12592942287265432,0.1436720563358118,0.1347417286281915,0.09890239584562728,0.046658011723513915,25419.0
13087,"Decatur County, Georgia",0.13289245206339825,0.13300328813684562,0.13100823881479293,0.11382864743045035,0.12055270255292425,0.12897624413492445,0.11028189308013447,0.07182177559389663,0.0576347581926331,27067.0
13089,"DeKalb County, Georgia",0.1325006943729063,0.11803165818857995,0.14627600964428547,0.15611328514667894,0.13215252992975424,0.12436120952588348,0.09983191611714497,0.05126884423748727,0.03946385283727941,766879.0
13091,"Dodge County, Georgia",0.10242677030998197,0.11228552469428382,0.12825860271115747,0.1204853540619964,0.13565266849938382,0.13911271210541284,0.12176509621765096,0.07868044364394729,0.061332827756185426,21098.0
13093,"Dooly County, Georgia",0.08277340957827019,0.10521801286633307,0.12387419585418155,0.1222301644031451,0.13145103645461045,0.1409578270192995,0.1396711937097927,0.09006433166547534,0.06375982844889208,13990.0
13095,"Dougherty County, Georgia",0.12787107462911365,0.1520983722956763,0.15777866233472831,0.1148752595397674,0.10582767635256528,0.11324002452852515,0.1116693382677267,0.0624939485546459,0.054145643497251296,92953.0
13097,"Douglas County, Georgia",0.13064555719194895,0.15229367806687394,0.1329160530191458,0.1254363715703922,0.14514127529591447,0.13659793814432988,0.09525855015545737,0.052412316587574316,0.029298259968363063,146664.0
13099,"Early County, Georgia",0.1285523555216479,0.1375166889185581,0.11520122067518596,0.1035666603089834,0.11472439443066948,0.1297921037573908,0.11338928094602327,0.08811748998664888,0.06913980545489222,10486.0
13101,"Echols County, Georgia",0.14236453201970442,0.1396551724137931,0.1253694581280788,0.13866995073891625,0.13399014778325122,0.12315270935960593,0.1,0.047783251231527095,0.04901477832512315,4060.0
13103,"Effingham County, Georgia",0.14060708370493055,0.14516180405147153,0.12436297617530895,0.14388775640208945,0.1357179258504268,0.13023952095808386,0.096907249331125,0.0524748375589247,0.030640845967639187,62792.0
13105,"Elbert County, Georgia",0.11814561421423465,0.11237618707239866,0.11676707852547738,0.1103849688553048,0.10890431941182477,0.1377003982436434,0.13055243541305014,0.0914428673542326,0.07372613090983356,19586.0
13107,"Emanuel County, Georgia",0.1331476807936646,0.1369767644243321,0.13044991732660344,0.12997128187277002,0.1119571838830389,0.1218344791576016,0.11417631189626665,0.07027238708554523,0.05121399356017753,22982.0
13109,"Evans County, Georgia",0.14061783848198736,0.14446787056558805,0.11669263910532587,0.12090934091117428,0.11650930424420206,0.12595104959207992,0.1069758914657622,0.07305894215785133,0.05481712347602897,10909.0
13111,"Fannin County, Georgia",0.08177867685622238,0.09601408556229864,0.0882220723758148,0.08709822432007193,0.10020978497040534,0.13950700531954746,0.1895182438001049,0.13126545291076647,0.08638645388476811,26694.0
